,genre,keywords,director,popularity,tagline,original_title,imdb_id,id
354,action adventure fiction science,accused agent colony cyberpunk double dystopia false false falsely hologram identity implanted life mars memory memory mutant oxygen resistance secret space telepathy,Paul Verhoeven,12.954444,"they stole his mind, now he wants it back.",Total Recall,100802,354
355,animation comedy family,boy boy comes door friends friendship jealousy life new next rivalry to toy toy toy,John Lasseter,21.946943,,Toy Story,114709,355
356,animation comedy family,airplane collector comes coming crisis duringcreditsstinger flea friendship garage identity inanimate life life market museum objects personification prosecution rescue sale team teamwork to to toy,John Lasseter,17.547693,the toys are back!,Toy Story 2,120363,356
357,drama,foran hylde skab tv under øverste,Marc Forster,15.529604,where will your imagination take you?,Finding Neverland,308644,357
358,drama thriller,apartment based building camera drug erotic eroticism female game hidden landlord landlord mind murder neighbor new novel on protagonist psychopath relationship sex sex stalking surveillance talk tenant thriller use video york,Phillip Noyce,11.23297,you like to watch... don't you?,Sliver,108162,358
359,action adventure fiction science thriller,alien ape chimp dystopia gorilla human marine planet revolution slavery space space space subjugation suit time travel travel,Tim Burton,17.319836,you'll be sorry you were ever born human,Planet of the Apes,133152,359
360,action adventure drama fiction science,ape apocalypse astronaut bondage chimp dystopia evolution gorilla human human marine slavery space space subjugation time travel travel,Franklin J. Schaffner,17.784978,"somewhere in the universe, there must be something better than man!",Planet of the Apes,63442,360
361,comedy music romance comedy music romance,audience broadway chorus coach diction fan flapper girl in morning movie movie musical necklace partner pearl talkie audience broadway chorus coach diction fan flapper girl in morning movie movie musical necklace partner pearl talkie,Stanley Donen,11.064858,what a glorious feeling!,Singin' in the Rain,45152,361
362,drama,adoption africa black empowerment father husband incest jazz jazz letter musician people prison rape relationship sister sister southern usa violent violent,Steven Spielberg,11.573562,it's about life. it's about love. it's about us.,The Color Purple,88939,362
363,action adventure fantasy fiction science,dune faith giant imperator insurgence miniseries nobility of prophecy rebel religion sandstorm spice telepathy title war world worm,John Harrison,14.612842,discover the greatest treasure in the universe.,Frank Herbert's Dune,142032,363
364,adventure comedy family fantasy,daughter fairy-tale fantasy figure flying pan peter rescue sword swordplay,Steven Spielberg,14.508137,what if peter pan grew up?,Hook,102057,364
365,drama,and and base based bay case code command corps court court court death dying flashback guantanamo justice law law leader marine martial military military military murder musical navy navy of on or platoon play red right sexism suicide suspicion u.s. underdog,Rob Reiner,12.330249,,A Few Good Men,104257,365
366,comedy family fantasy,adoption age bad best daily dinosaur family's friend friendship jealousy life manager mother-in-law plan stone,Brian Levant,15.019586,yabba-dabba-doo!,The Flintstones,109813,366
367,drama history mystery thriller,burglar fbi journalist man newspaper newspaper plan politics scandal shadowing usa watergate wiretap,Alan J. Pakula,12.421754,the most devastating detective story of this century.,All the President's Men,74119,367
368,comedy fantasy fiction science comedy fantasy fiction science,attempt butcher butcher's cell clown dystopia murder planned post-apocalyptic shop suicide terror underground vegetarian attempt butcher butcher's cell clown dystopia murder planned post-apocalyptic shop suicide terror underground vegetarian,Jean-Pierre Jeunet,12.565447,a futuristic comic feast.,Delicatessen,101700,368
369,comedy drama romance,and attempt blind blindness eye flower flower girl girl impaired life little love love millionaire of one's operation operation shop suicide tramp tramp vision,Charlie Chaplin,10.891524,true blind love,City Lights,21749,369
370,crime drama romance,agent claude famous glider insurance martinique missing monet painting painting painting painting people rich stolen valuable,John McTiernan,10.961226,how do you get the man who has everything?,The Thomas Crown Affair,155267,370
371,adventure animation comedy family adventure animation comedy family,66 aftercreditsstinger angeles anthropomorphism auto car car duringcreditsstinger friendship journey los media movie porsche race retirement road route rural setting sport wrecker 66 aftercreditsstinger angeles anthropomorphism auto car car duringcreditsstinger friendship journey los media movie porsche race retirement road route rural setting sport wrecker,John Lasseter,18.907948,ahhh... it's got that new movie smell.,Cars,317219,371
372,horror,army biker bite broadcast chaos emergency gang gang gore helicopter infection law machete mall martial materialism motorcycle news of pittsburgh rock state store truck violence zombie,George A. Romero,19.24201,"when there's no more room in hell, the dead will walk the earth.",Dawn of the Dead,77402,372
373,action fantasy horror,and and basement birth bite blackout bus car car dead death department dog duringcreditsstinger dying garage guard habor journey lorry mass munition murder pregnancy refugee ride shoot store to zombie,Zack Snyder,13.157873,"when the undead rise, civilization will fall.",Dawn of the Dead,363547,373
374,drama,black brutality chaos clash critic culture culture glasses heat hip hop italo-american money operation people pizza pizzeria police police punk racism radio restaurant street sun transmission war,Spike Lee,10.465403,"it's the hottest day of the summer. you can do nothing, you can do something, or you can...",Do the Right Thing,97216,374
375,comedy family fiction science,battle fictional show space spaceship spoof tv,Dean Parisot,15.831374,a comedy of galactic proportions.,Galaxy Quest,177789,375
376,comedy fantasy horror,and and animal banking bars chain department family fur gremlin holiday human kids midnight monster pet puppet relationship restaurants salesperson saw skunk small store sunlight town ymca,Joe Dante,11.333125,"don't get him wet, keep him out of bright light, and never feed him after midnight.",Gremlins,87363,376
377,comedy fantasy horror,and animal bat cleverness cowardliness current death dying electric fur gremlin human monster mutant mutation new relationship research restaurant shock skyscraper station station tv water york,Joe Dante,14.383185,here they grow again.,Gremlins 2: The New Batch,99700,377
378,action fiction science thriller,accident animal army atomic atomic boat bomb bomb destroy egg flowerpot godzilla horror intelligence kaiju missile pregnancy secret test u.s.,Roland Emmerich,11.295121,size does matter.,Godzilla,120685,378
379,western,beard bounty death hand hunter man mustache piano pot right rural setting sidekick smoking sombrero spaghetti western,Sergio Leone,13.295342,"the man with no name is back... the man in black is waiting... a walking arsenal - he uncoils, strikes and kills!",Per qualche dollaro in più,59578,379
380,action adventure comedy crime thriller,angeles buddy christmas cop death detective detective ex homicide lapd los of police recklessness self-destruction soldier wife,Richard Donner,13.183804,if these two can learn to stand each other... the bad guys don't stand a chance.,Lethal Weapon,93409,380
381,action adventure comedy crime thriller,buddy cop detective diplomatic gang girlfriend immunity lapd loss of police,Richard Donner,12.834276,the magic is back!,Lethal Weapon 2,97733,381
382,action adventure comedy crime thriller,a aftercreditsstinger biscuit buddy cop cop dog firing judo on police practice psychologist range rookie shooting sitting throw toilet,Richard Donner,10.786007,the magic is back again!,Lethal Weapon 3,104714,382
383,action adventure comedy crime thriller,fire house lapd on revolver,Richard Donner,14.470551,the faces you love. the action you expect.,Lethal Weapon 4,122151,383
384,adventure drama history war,arab arabian army british british cairo camel damascus desert empire empire horse i jerusalem ottoman war war world,David Lean,10.893332,,Lawrence of Arabia,56172,384
385,horror thriller,babysitter blood cult escaped evil family female film film halloween independent institution killer killer killer killer killing maniac marijuana mask masked murderer nudity nudity police pot pot psychopathic psychotic serial slasher slitting smoking smoking spree stalking throat violence,John Carpenter,13.672759,the night he came home,Halloween,77651,385
386,action crime drama thriller,and bank bank betrayal cat chase crime criminal cult detective epic ex-con fight film gang gun heist heist honor job job last loner mastermind money mouse movie murder neo-noir obsession one robbery shooting suspense thief,Michael Mann,17.924927,a los angeles crime saga,Heat,113277,386
387,adventure animation comedy family,adventure age barrier deluge flooding ice ice ice iceberg lovers mammoth melting saber-toothed sloth tiger,Carlos Saldanha,16.646029,the ice age is melting away.,Ice Age: The Meltdown,438097,387
388,animation family animation family,giraffe hippopotamus lion penguin zebra giraffe hippopotamus lion penguin zebra,Eric Darnell,16.136217,someone's got a zoo loose.,Madagascar,351283,388
389,action adventure thriller,agent agent arms base based cia computer deal embassy england espionage headquarter identity london mission mission on paris prague secret secret secret secret series spy terrorist tgv tv undercover,Brian De Palma,15.793477,expect the impossible.,Mission: Impossible,117060,389
390,action adventure thriller,agent agent and car cia computer death duel dying ex-lover helicopter identity island laboratory lethal mission rescue research secret secret secret skyscraper spain team terror undercover violence virus,John Woo,18.97178,expect the impossible again.,Mission: Impossible II,120755,390
391,action adventure thriller,agent and bad berlin blast celebration cia computer covered dead decipherment disguise drive duel e-mail explosive funeral good hard honeymoon hospital house identity investigation laboratory letter map mask mission mission mobile murder murder phone pretended research revenge secret secret secret secret shanghai shoot stamp suitcase to traitor vatican video white,J.J. Abrams,15.687983,the mission begins 05:05:06.,Mission: Impossible III,317919,391
392,drama horror,admirer ballet captive diva film house love opera opera outcast paris performance phantom protégé secret silent unrequited,Rupert Julian,11.083684,the greatest horror film of modern cinema!,The Phantom of the Opera,16220,392
393,western,bandit burden cowboy farmer friendship gun henry hired horse man's mexican remake rifle village white,John Sturges,10.650752,they were seven - and they fought like seven hundred!,The Magnificent Seven,54047,393
394,action drama history,ancient ancient caesar empire escaped fight gladiator gladiator insurgence julius roman rome slave slave slavery torture world,Stanley Kubrick,11.110376,more titanic than any story ever told!,Spartacus,54331,394
395,adventure drama history,austria buddhism buddhist dalai himalaya ii lama lhasa monk monsoon mountain mountaineer of prisoners tibet war war wedding world,Jean-Jacques Annaud,11.483493,at the end of the world his real journey began.,Seven Years in Tibet,120102,395
396,crime drama mystery thriller,and assault boyfriend brutality cruelty dark drug evil extremism french knife love new nudity paris police prostitute rape rape revenge revenge sex sex trauma underpass unsimulated violence,Gaspar Noé,16.76382,time destroys everything.,Irréversible,290673,396
397,action crime thriller,ambush assault beating box bus chase city detective dirty elephone francisco gunfight harry investigation kidnapping killer maniac mayor neo-noir nudity partner police pool psychopath ransom revolver san school serial sniper stadium swimming violence,Don Siegel,10.255315,detective harry callahan. he doesn't break murder cases. he smashes them.,Dirty Harry,66999,397
398,mystery thriller,affair author class extramarital infidelity rivalry robbery romantic upper,Joseph L. Mankiewicz,10.387423,"if it was murder, where's the body?",Sleuth,69281,398
399,drama mystery thriller,amnesia angeles bisexuality casting film hallucination identity independent interview job key lesbian los loss of of past reality schizophrenia sense suppressed surreal suspense trauma,David Lynch,18.184056,an actress longing to be a star. a woman searching for herself. both worlds will collide... on mulholland drive.,Mulholland Drive,166924,399
400,drama mystery thriller,1960s burglar corpse counterculture darkroom england fashion illusion london loss lovers mod model municipal murder of of of pantomime park photo photographer photography pot reality reality sense shoot smoking surreal suspicion tennis,Michelangelo Antonioni,10.59036,michelangelo antonioni's first british film,Blow-Up,60176,400
401,drama family,adult an becoming brother canoe chief director empowerment fighting granddaughter grandfather loss loss loss maori modern mother new ocean of of of of patriarch patriarchy relationship role society stick tradition tradition whale wife woman women zealand,Niki Caro,11.040186,,Whale Rider,298228,401
402,action crime thriller,agent angeles conflict director fbi los moral operation parachute parachuting police self-destruction self-discovery surfboard surfer undercover wave woman,Kathryn Bigelow,11.453093,twenty-seven banks in three years. anything to catch the perfect wave.,Point Break,102685,402
403,fiction horror mystery science,alien alien alien antarctica dogs ice life-form marine norwegian paranoia remake research shape shifting sled snow space station storm,John Carpenter,16.83125,man is the warmest place to hide.,The Thing,84787,403
404,action fiction science,anti attempt boss cyberpunk dystopia escape gang gangster hero hero hostage kidnapping liberation of operation police president prisoners reluctant street taxi to usa veteran war,John Carpenter,10.124544,1997. new york city is now a maximum security prison. breaking out is impossible. breaking in is insane.,Escape from New York,82340,404
405,drama mystery thriller,and class class competition death dying hostility illusion magic obsession rivalry secret society tricks,Christopher Nolan,16.94556,are you watching closely?,The Prestige,482571,405
406,drama,bullet cast daughter deaf-mute diego ecstasy ensemble first gun illegal immigration loss morocco mother nanny of san terror time wound,Alejandro González Iñárritu,12.60853,if you want to be understood...listen,Babel,449467,406
407,crime drama thriller,atlantic beguilement complex cowardliness double dual envy false friendship gay homicide homosexuality identity identity identity identity inferiority inferiority italy jealousy life liner love lovesickness murder new new new ocean ocean planned prosecution rejection secret ship venice wealth yacht york,Anthony Minghella,11.65502,how far would you go to become someone else?,The Talented Mr. Ripley,134119,407
408,drama romance,britain butler country employer flower house housekeeper jewish loyalty nazis newspaper,James Ivory,12.222576,diamond in the rough,The Remains of the Day,107943,408
409,drama,boxer boxing cancer challenger champion comeback defeat fight fight fighter grave life love match of one's over-the-hill owner philadelphia publicity restaurant station tombstone training transporter tv victory virtual world,Sylvester Stallone,11.697604,it ain't over 'til it's over.,Rocky Balboa,479143,409
410,drama history thriller,bay berlin child childhood cia cold cuba england family family husband invasion kgb kongo leaving london memory mentor of one's pigs relationship return spy usa war wife wife,Robert De Niro,11.057536,the untold story of the most powerful covert agency in the world.,The Good Shepherd,343737,410
411,action fantasy horror thriller,and and based comic death demon devil's dying flame ghost on religion son stunts supernatural world,Mark Steven Johnson,11.902354,hell is about to be unleashed,Ghost Rider,259324,411
412,action adventure drama war,and army cave death dying ii imperial japan japanese pacific theater war world,Clint Eastwood,11.649588,the battle of iwo jima seen through the eyes of the japanese soldiers.,Letters from Iwo Jima,498380,412
413,comedy,ad angeles architect clothing daughter fashion father guitar hearts lonely los love men mother mother mother new profession relationship relationship role single single sister sister,Michael Lehmann,14.764607,"she's just your normal, overprotective, overbearing, over-the-top mother.",Because I Said So,490084,413
414,comedy drama fantasy romance,author comedy death dying fate if literature love novelist professor publisher romantic what,Marc Forster,10.798092,harold crick isn't ready to go. period.,Stranger Than Fiction,420223,414
415,action crime drama thriller,angeles los police,David Ayer,13.246795,their city. their rules. no prisoners.,Street Kings,421073,415
416,animation comedy family,adoption best creature family friend friendship future machine mythical rescue rex saving team the time time travel tyrannosaurus world,Stephen J. Anderson,10.529576,think your family's weird?,Meet the Robinsons,396555,416
417,comedy family,aftercreditsstinger brick chaos clumsy director drop fellow film france holiday to,Steve Bendelack,10.19853,disaster has a passport.,Mr. Bean's Holiday,453451,417
418,action adventure war,ancient army evisceration fall from height javelin minions s.a.t. shield world,Zack Snyder,18.108408,"spartans, prepare for glory!",300,416449,418
419,fiction science thriller,bomb earth energy expiration marine mission saving solar space space sun sunlight the world,Danny Boyle,12.715571,"if the sun dies, so do we.",Sunshine,448134,419
420,adventure animation comedy family,against arts based brother brother brother brother comic crime fighter identity journalist love martial mutant new on relationship reunion secret turtle york,Kevin Munroe,11.358363,,TMNT,453556,420
421,crime drama romance,burglar golf husband husband jealousy life love love mannequin of one's prison relationship seoul triangle violent wife,Kim Ki-duk,12.949881,,빈집,423866,421
422,comedy,airport amusement and angeles arts arts artwork california chaos clumsy creativity culture damage destroy england expert family fellow guard hospital host laxative london los museum painting paris park poster rebellion repair teenage vault,Mel Smith,12.799853,one man. one masterpiece. one very big mistake.,Bean,118689,422
423,crime drama thriller,based business child collar director divorce harvard imitation narrator novel of on psychopath school street unreliable voice wall white woman,Mary Harron,13.686715,i think my mask of sanity is about to slip.,American Psycho,144084,423
424,drama romance,director disabled life love of one's painter woman,Julie Taymor,11.283472,prepare to be seduced,Frida,120679,424
425,adventure animation family adventure animation family,dragon dwarves eagle elves gold magic orcs rivendell robbery spider dragon dwarves eagle elves gold magic orcs rivendell robbery spider,Jules Bass,16.425868,,The Hobbit,77687,425
426,drama,amateur boxer boxing champion fight independence italo-american life love lovers match of one's philadelphia publicity surprise training transporter underdog victory world,John G. Avildsen,14.774066,his whole life was a million-to-one shot.,Rocky,75148,426
427,drama,boxer boxing care champion coma hero hospital husband intensive life love match of one's publicity relationship sport training transporter victory wife world,Sylvester Stallone,11.789813,once he fought for a dream. now he's fighting for love!,Rocky II,79817,427
428,action adventure thriller war,accused and and attempt brutality death death destroy dying escape escape falsely firearm guard guerrilla gun gun life matter national of operation police police police prison prosecution rural self-defense setting sheriff submachine survivor to tramp veteran vietnam vietnam vietnam war weapon,Ted Kotcheff,14.778884,this time he's fighting for his life.,First Blood,83944,428
429,action adventure thriller war,agent army chase denunciation forest government gun liberation liberation machinegun of of photography prisoner prisoners prisoners revenge soldier submachine u.s. usa veteran vietnam vietnam vietnam war war war,George P. Cosmatos,11.924462,"what most people call hell, he calls home.",Rambo: First Blood Part II,89880,429
430,action adventure thriller war,afghanistan competition fighter food freedom freedom gun japanese liberation machinegun mujahid on opera reality russian show soap soviet soviet submachine thailand troops union war western,Peter MacDonald,11.624866,the first was for himself. the second for his country. this time it's to save his friend.,Rambo III,95956,430
431,drama,and boxer boxing challenger champion comeback death defeat dying fame match rematch revenge sport trainer training transporter victory wealth world,Sylvester Stallone,11.673366,the greatest challenge.,Rocky III,84602,431
432,action drama thriller,bootlegger diamond family fisherman genocide in journalism journalist leone loss mercenary mine of oppression rebel rwanda sierra slavery smuggling special unit,Edward Zwick,12.477872,it will cost you everything.,Blood Diamond,450259,432
433,drama,and and boxer boxing cold death death dying friendship kgb life loss loss lover match matter of of of powers revenge sibiria soviet sport training transporter union usa victory war,Sylvester Stallone,10.25721,he's facing the ultimate challenge. and fighting for his life.,Rocky IV,89927,433
434,drama,bankrupt boxer boxing boxing career cataclysm challenge challenger champion champion consultant disappointment father father figure friendship match philadelphia praise relationship restart riots school son sponsorship sport street tax trainer training transporter world,John G. Avildsen,14.007329,go for it!,Rocky V,100507,434
435,crime drama,brother dealer drug father glasgow heroin murder puberty relationship single single sister teacher,Ken Loach,12.130265,life... it's about to hit the fan!,Sweet Sixteen,313670,435
436,comedy drama romance,attempt club dominatrix eroticism free gay group heterosexual homosexuality love new orgasm sex sex sex sex suicide swinger therapy transsexuality unsimulated video york,John Cameron Mitchell,11.547748,open your mind. and everything else.,Shortbus,367027,436
437,adventure drama fiction romance science,and brain civilization conquest death dying immortality life love maya monkey of one's operation queen surgeon transience tree tumor,Darren Aronofsky,11.577121,death is the road to awe,The Fountain,414993,437
438,drama romance,age beach cinema coming friendship group lgbt male mexican mexico new of road sex sex teenager trip,Alfonso Cuarón,13.962548,life has its ways of teaching. life has its ways to confuse us. life has its ways to move us. life has its ways to amaze. life has its ways to hurt us. life has its ways to heal. life has its ways to inspire.,Y tu mamá también,245574,438
439,drama history,memoirs,Andrei Tarkovsky,10.11584,,Зеркало,72443,439
440,drama,bad biography bus church francisco homeless homelessness luck parent person salesman san service single stockbroker work worker,Gabriele Muccino,20.981716,,The Pursuit of Happyness,454921,440
441,drama music romance,anthem audience biography blindness call cat musical national performer song,Olivier Dahan,11.710507,the extraordinary story of edith piaf,La Môme,450188,441
442,drama,camcorder interview longing obsession orgasm safe sex sex sexual sexuality spanner videoband voyeurism,Steven Soderbergh,12.293656,,"Sex, Lies, and Videotape",98724,442
443,drama fantasy war,anti army fairy fairy franco hero hiding king labyrinth love mythological princess regime resistance servant spain tale woods,Guillermo del Toro,26.817754,what happens when make-believe believes it's real?,El laberinto del fauno,457430,443
444,crime drama thriller,boston cop friends mafia mobster mole police police police realtor state training undercover undercover,Martin Scorsese,18.515448,lies. betrayal. sacrifice. how far will you take it?,The Departed,407887,444
445,crime drama fantasy,bad child children's daughter death female fish genius home lavender lone market nose nudity nudity obsession orgy paris perfume prodigy prostitute small smell supernatural town wolf,Tom Tykwer,10.297304,based on the best-selling novel,Perfume: The Story of a Murderer,396171,445
446,crime drama,aftercreditsstinger american dealer dream dream drug friendship friendship girlfriend male melancholy nightclub prison prisoner,Spike Lee,10.271871,this life was so close to never happening.,25th Hour,307901,446
447,documentary,amok and balances bombing canada checks city columbine dead gun gun homicide oklahoma person running shoot to usa violence,Michael Moore,11.393859,one nation under the gun.,Bowling for Columbine,310793,447
448,drama fantasy fiction horror science thriller,bomb bully explosion fear fight murder nudity orphanage revenge sex spanish supernatural war,Guillermo del Toro,11.111299,the living will always be more dangerous than the dead.,El espinazo del diablo,256009,448
449,drama history romance,battle burma civil company daughter death denunciation east father india palace penalty relationship royalty son teacher thailand trading traitor war,Andy Tennant,17.65016,,Anna and the King,166485,449
450,drama romance,1970s director family michigan woman youth,Sofia Coppola,10.505387,"beautiful, mysterious, haunting, invariably fatal. just like life.",The Virgin Suicides,159097,450
451,action adventure fantasy fiction science,based comic comics dc invulnerability kryptonite lex luthor on powers saving sequel strength super superhero superhuman the world,Bryan Singer,13.284712,,Superman Returns,348150,451
452,action fantasy fiction science,black combat corpse cover-up demon duringcreditsstinger fistfight from grave magic narration occult paranormal phenomena photography reanimated superhero,Guillermo del Toro,13.206854,from the dark side to our side.,Hellboy,167190,452
453,drama fantasy romance thriller,austria childhood crown duchess love magic power prince princess rivalry supernatural sweetheart vienna vienna,Neil Burger,11.494009,nothing is what it seems.,The Illusionist,443543,453
454,action adventure drama history,15th america century christopher columbus discovery indigenous new of the world,Ridley Scott,11.618792,"centuries before the exploration of space, there was another voyage into the unknown.",1492: Conquest of Paradise,103594,454
455,action adventure drama history war,crusade epic king knight knight of order religious richard saladin swordsman templars templars the,Ridley Scott,16.296471,"be without fear in the face of your enemies. safeguard the helpless, and do no wrong",Kingdom of Heaven,320661,455
456,action adventure comedy family fiction science,arts city delivery martial mutant new ninja pizza skateboarding york,Steve Barron,13.184585,heroes in a half shell!,Teenage Mutant Ninja Turtles,100758,456
457,adventure,american native torture viking,Marcus Nispel,11.101549,"two worlds, one war. the ultimate battle begins.",Pathfinder,446013,457
458,action crime thriller,china cia cold spy war,Tony Scott,18.186839,it's not how you play the game. it's how the game plays you.,Spy Game,266987,458
459,crime drama thriller,angeles assassin california crime criminal driver fbi gun hitman hostage los murderer police taxi taxi violence,Michael Mann,13.455112,it started like any other night.,Collateral,369339,459
460,adventure crime drama thriller,arkansas canyon cliff drive grand highway over self-defense southern usa usa waitress,Ridley Scott,14.785388,somebody said get a life... so they did,Thelma & Louise,103074,460
461,comedy crime,beach burnout business coworker dallas downsizing duringcreditsstinger engineer laziness relationship resort rivalry software suburbia texas,Mike Judge,12.329066,work sucks.,Office Space,151804,461
462,drama fiction horror science thriller,afterlife and confetti death life medical memory student swing,Joel Schumacher,11.890138,some lines shouldn't be crossed.,Flatliners,99582,462
463,fiction horror science thriller,and and and body chaos chaos chases corpse danger dead deadly death dying england escapade family female human london loss loss mayham mother mutant nature of of of on parts pest plague races relations run siblings supernatural survival survivor the virus zombie,Juan Carlos Fresnadillo,12.884191,when days turn to weeks... the horror returns.,28 Weeks Later,463854,463
464,action thriller,action car chase cyber d.c. ex-cop fbi hacker hero hostage kidnapping of prisoners suspense terrorism transport violence washington,Len Wiseman,14.886039,the old school cop is back!,Live Free or Die Hard,337978,464
465,action thriller,action agent aqueduct bank bomb car chase city deception detective dump explosion fbi federal fistfight flashback gold helicopter hero new police reserve riddle robbery says sequel ship shootout simon subway taxi truck violence york,John McTiernan,15.138855,think fast. look alive. die hard.,Die Hard: With a Vengeance,112864,465
466,action thriller,air airport airport ambush based church commando control cop dulles explosion fistfight grenade hand helicopter international involved journalist novel officer on sabotage sequel shooting shootout snow snowmobile swat talkie team terrorism traffic unit violence walkie,Renny Harlin,18.785984,die harder,Die Hard 2,99423,466
467,action comedy crime drama music,age based chicago jazz man matron murdered musical nude on or play prison,Rob Marshall,13.325347,"if you can't be famous, be infamous",Chicago,299658,467
468,comedy romance,angeles christmas christmas comedy country director england exchange film holiday house london los making multiple party romantic room storylines surrey woman,Nancy Meyers,14.043416,it's christmas eve and we are going to go celebrate being young and being alive.,The Holiday,457939,468
469,comedy music,and band high music rock rock roll school,Richard Linklater,17.95142,he just landed the gig of his life: 5th grade.,School of Rock,332379,469
470,drama family fantasy,angel angel attempt bank based christmas christmas christmas depression ending eve feel-good great guardian holiday novel on small suicide town tree,Frank Capra,15.031588,it's a wonderful laugh! it's a wonderful love!,It's a Wonderful Life,38650,470
471,drama romance,brother brother disabled dysfunctional family film independent iowa mentally relationship widow,Lasse Hallström,10.3919,a film about the love you find...in the last place you look.,What's Eating Gilbert Grape,108550,471
472,crime drama mystery thriller,bishop case corruption court court pornographic psychopathy video,Gregory Hoblit,10.326213,"sooner or later, a man who wears two faces forgets which one is real.",Primal Fear,117381,472
473,action adventure comedy family fantasy,based book chaos children's civilization coming dinosaur duringcreditsstinger genghis guard history inanimate khan life magical maya museum natural night object objects on roosevelt security shift skeleton theodore to,Shawn Levy,16.661966,where history comes to life,Night at the Museum,477347,473
474,comedy romance,airplane airport baggage cat cia daughter epistaxis father-in-law hospital jew lost orderly pavilion urn volleyball wedding,Jay Roach,14.178281,first comes love. then comes the interrogation.,Meet the Parents,212338,474
475,crime thriller,abuse child cigar daughter dog fear lawyer police prison rape rapist revenge small smoking town,Martin Scorsese,10.302735,there is nothing in the dark that isn't there in the light. except fear.,Cape Fear,101540,475
476,comedy romance,anger celebrity detective enviroment existentialism film humor husband independent issues jealousy nature protest religion rivalry sex universe wife,David O. Russell,11.953055,an existential comedy,I Heart Huckabees,356721,476
477,comedy drama,bern budapest coach hungary soccer soccer sport,Sönke Wortmann,12.485973,,Das Wunder von Bern,326429,477
478,comedy music,band birthday comeback condom death rivalry rock tour,Brian Gibson,11.089962,"they were ""strange fruit"". some called them the greatest rock band of the '70s. they haven't played together for 20 years. no wonder they're worried about their performance.",Still Crazy,149151,478
479,action crime drama thriller,adversary assassin based celibacy execution formula game government hitman identity intelligence killer on power power russia secret secret secret society soviet takeover union video violence,Xavier Gens,13.765241,assassin 47,Hitman,465494,479
480,comedy,arrest beggar big broker christmas commodities dollar fish from hat hoodlum investor millionaire of out rags riches santa shot to tree wager water wrongful,John Landis,14.285052,some very funny business.,Trading Places,86465,480
481,crime drama,abuse farm liberation of prison prison prison prisoners warden,Stuart Rosenberg,14.503963,one man against a cruel system.,Brubaker,80474,481
482,comedy,1990s and birth birthday california lie pregnancy wish workaholic,Tom Shadyac,10.102471,trust me.,Liar Liar,119528,482
483,drama,female free law machine of paris philosophy pimp pinball prostitute prostitution protagonist rule smoking will woman,Jean-Luc Godard,11.30591,the many faces of a woman trying to find herself in a world of men.,Vivre sa vie: film en douze tableaux,56663,483
484,drama,at boarding child crush director eroticism first first france girls' identity love parent precocity provocation puberty relationship school sex sexual sight teenage time unsimulated woman women's,Catherine Breillat,16.295091,a surreal voyage into adolescent sexuality.,Une vraie jeune fille,135024,484
485,crime drama thriller,agent based burning cross deputy events fbi fbi funeral klan klux ku mississippi motel murder navy of on police racism rope sheriff sheriff shotgun suicide true u.s. victim violence,Alan Parker,13.971865,1964. when america was at war with itself.,Mississippi Burning,95647,485
486,action adventure fiction science thriller,clone cloning dystopia escape freedom genetics life love of one's plague transplantation,Michael Bay,11.443647,your time will come...,The Island,399201,486
487,action adventure crime,airport bomb bomb bus bus highway planting ride,Jan de Bont,10.859292,get ready for rush hour,Speed,111257,487
488,action adventure thriller,boat collision computer course cruise diamond disaster,Jan de Bont,11.268531,"as the stakes get higher, the ride gets even faster.",Speed 2: Cruise Control,120179,488
489,action crime drama mystery thriller,chase cheating computer computer identity new stalking virus,Irwin Winkler,13.304342,"no driver's license, no credit cards, no passport, no access to her bank accounts in a foreign country ... she finds her identity stolen.",The Net,113957,489
490,drama romance,affair american apartment business clandestine extramarital love man nudity paris parisian relationship sex tragedy woman,Bernardo Bertolucci,12.74564,bernardo bertolucci's landmark film,Ultimo tango a Parigi,70849,490
491,crime drama thriller,attempted blackmail court courtroom courtroom drama forgiveness issues jurors kkk klan klux ku lawyer mississippi murder murder racial racial rape shooting suspense tension trial,Joel Schumacher,13.309013,experience a time you'll never forget.,A Time to Kill,117913,491
492,crime drama,anne based based biography black daughter diary events excursion frank gang ghetto high holocaust idealism in novel on on people principal racial racial school school schools segregation tension true violence violence witness,Richard LaGravenese,13.585233,their story. their world. their future.,Freedom Writers,463998,492
493,action thriller,affair cia extramarital spy,Roger Donaldson,11.485473,trust. betrayal. deception. in the c.i.a. nothing is what it seems.,The Recruit,292506,493
494,adventure comedy fiction science,best billy bonaparte booth freud friend heavy history in jealousy journey kid metal metal napoleon past past peace phone presentation rhinoceros school sigmund socrates the the time travel world,Stephen Herek,15.109261,history is about to be rewritten by two guys who can't spell.,Bill & Ted's Excellent Adventure,96928,494
495,action adventure war,army based behind castle commando enemy explosion fistfight grenade hand ii lines military mission mission mission nazis novel on police secret shootout soldier suicide training u.s. war world,Robert Aldrich,15.640007,train them! excite them! arm them!...then turn them loose on the nazis!,The Dirty Dozen,61578,495
496,action adventure thriller,cold defection jack russian ryan submarine war,John McTiernan,15.91126,invisible. silent. stolen.,The Hunt for Red October,99810,496
497,action adventure thriller,africa escape from homeless husband intelligence paris person prison prison relationship revenge wife,Georges Lautner,10.093285,,Le Professionnel,82949,497
